Own,Res,PolyNm,PolyPr,MxPolyPr,TotOwn,AvParcel
OTHER,0,5,0.2065600000000,0.2639300000000,44.5076300000000,34.83310000000
PPR,0,3,0.3372000000000,0.5199700000000,581.8503800000000,197.65800000000
PPRFCL,0,1,1.0023600000000,1.0023600000000,21939.5587000000000,333.37900000000
PPRFCL,0,2,0.5000500000000,0.7539300000000,21939.5587000000000,187.29100000000
PPR,0,2,0.5047300000000,0.7778500000000,581.8503800000000,128.68800000000
PPRFCL,0,2,0.4979900000000,0.7465000000000,21939.5587000000000,194.25400000000
PPRFCL,0,3,0.3352300000000,0.5308700000000,21939.5587000000000,140.26000000000
IND,0,3,0.3341800000000,0.4962100000000,77.7114600000000,155.54100000000
PPRFCL,0,2,0.4960300000000,0.7561100000000,21939.5587000000000,193.86300000000
IND,0,4,0.2516000000000,0.2730700000000,651.5912300000000,67.79220000000
IND,0,4,0.2500300000000,0.2710900000000,83.9564700000000,58.96360000000
IND,0,2,0.5000000000000,0.5222900000000,132.2276600000000,106.09400000000
IND,0,3,0.3315500000000,0.5001400000000,206.9873200000000,66.67250000000
IND,0,2,0.5066800000000,0.7670500000000,206.9873200000000,83.91810000000
IND,0,5,0.2013300000000,0.2631200000000,132.2276600000000,60.52080000000
IND,0,3,0.3424300000000,0.5045900000000,85.4414500000000,65.51940000000
ST,0,2,0.4915400000000,0.7291800000000,5163.9356900000000,197.13100000000
IND,0,3,0.3357700000000,0.4907400000000,204.2271100000000,82.85580000000
IND,0,2,0.5083200000000,0.5185700000000,204.2271100000000,259.83900000000
ST,0,1,1.0144300000000,1.0144400000000,5163.9356900000000,354.85700000000
IND,0,1,1.0278200000000,1.0278200000000,168.3871600000000,168.38700000000
PPR,0,1,1.0183000000000,1.0183000000000,581.8503800000000,322.00300000000
PPR,0,1,1.0190700000000,1.0190700000000,581.8503800000000,322.00300000000
ST,0,1,1.0207400000000,1.0207400000000,5163.9356900000000,573.42000000000
IND,0,2,0.5089500000000,0.5097400000000,80.5365600000000,326.97800000000
ST,0,1,1.0430400000000,1.0430400000000,5163.9356900000000,573.42000000000
ST,0,1,1.0367600000000,1.0367600000000,5163.9356900000000,573.42000000000
IND,0,2,0.5013200000000,0.5143200000000,80.3780900000000,197.38900000000
PPR,0,2,0.5015100000000,0.7437100000000,994.6917700000000,177.61900000000
PPR,0,2,0.5054500000000,0.7545000000000,994.6917700000000,177.75300000000
IND,0,1,0.9920900000000,0.9920900000000,159.3694500000000,159.36900000000
IND,0,2,0.4942300000000,0.4942700000000,154.5213400000000,154.95700000000
IND,0,2,0.4981700000000,0.5098000000000,158.7694500000000,135.10400000000
IND,0,3,0.3342700000000,0.5224500000000,158.7694500000000,102.48800000000
IND,0,2,0.5023700000000,0.5052000000000,196.4981400000000,154.95700000000
IND,0,1,1.0002200000000,1.0002200000000,707.6150800000000,157.15100000000
IND,0,4,0.2498600000000,0.2626800000000,188.0606600000000,39.25590000000
IND,0,2,0.4997200000000,0.7656600000000,199.8835500000000,118.25800000000
IND,0,2,0.4996900000000,0.5030800000000,199.8835500000000,139.35600000000
IND,0,4,0.2503200000000,0.3914700000000,62.0649100000000,39.68570000000
IND,0,2,0.4989300000000,0.4997100000000,707.6150800000000,78.04300000000
IND,0,2,0.4901000000000,0.7231100000000,197.7411100000000,78.28990000000
IND,0,2,0.4955600000000,0.5429600000000,87.2843000000000,79.66510000000
IND,0,2,0.4994600000000,0.7403900000000,707.6150800000000,176.57200000000
IND,0,2,0.4984300000000,0.7459100000000,707.6150800000000,175.52000000000
IND,0,2,0.4997900000000,0.5052900000000,707.6150800000000,194.38200000000
IND,0,1,0.9979000000000,0.9979000000000,196.5817300000000,157.02700000000
IND,0,4,0.2502500000000,0.4944300000000,78.6353100000000,39.80080000000
IND,0,3,0.3302400000000,0.5019000000000,72.8409400000000,47.92730000000
IND,0,5,0.1933500000000,0.3369800000000,50.6281100000000,29.04950000000
IND,0,1,0.9991000000000,0.9991000000000,185.2243500000000,161.99300000000
IND,0,4,0.2502200000000,0.5115800000000,82.0185000000000,40.11600000000
IND,0,2,0.5024200000000,0.5366500000000,80.9941500000000,75.82850000000
IND,0,4,0.2503300000000,0.4944100000000,74.5440100000000,37.74380000000
IND,0,4,0.2492200000000,0.6849500000000,133.4107900000000,39.94670000000
IND,0,4,0.2453400000000,0.3547600000000,55.6152500000000,38.46240000000
IND,0,3,0.3347500000000,0.4634800000000,92.8465800000000,61.42670000000
IND,0,8,0.1259200000000,0.2821100000000,44.6172300000000,34.75230000000
IND,0,3,0.3364500000000,0.5017800000000,78.9481500000000,52.93650000000
IND,0,2,0.5030900000000,0.5182000000000,232.6838800000000,79.38700000000
IND,0,3,0.3388700000000,0.5177400000000,197.7411100000000,53.82220000000
IND,0,4,0.2502400000000,0.3798300000000,59.9849200000000,39.51880000000
IND,0,6,0.1671500000000,0.3391500000000,53.2134000000000,26.22620000000
IND,0,2,0.5000000000000,0.5004300000000,78.3422900000000,78.27430000000
IND,0,2,0.4989900000000,0.5003400000000,78.0096800000000,114.46200000000
IND,0,5,0.2000100000000,0.4708100000000,232.6838800000000,46.66860000000
IND,0,4,0.2499700000000,0.2950000000000,124.7039900000000,39.08370000000
IND,0,2,0.4990300000000,0.8786500000000,213.8784700000000,116.20300000000
IND,0,2,0.5004800000000,0.5009700000000,77.7053400000000,145.79200000000
IND,0,3,0.3327400000000,0.5048900000000,124.7039900000000,51.78860000000
IND,0,2,0.3799400000000,0.4576300000000,71.2303200000000,59.13770000000
