Own,Res,PolyNm,PolyPr,MxPolyPr,TotOwn,AvParcel
RR,0,1,1.002182267,0.99972,10434.76,169
IND,0,4,0.252431858,0.27244,87.8003,135
IND,0,1,1.006030083,1.0067,326.0493,326
IND,0,2,0.495930976,0.73634,326.0493,228
LBR,0,3,0.334892177,0.51183,129.2224,100
IND,0,2,0.502432833,0.52551,234.9976,307
IND,0,1,1.003811772,1.00373,528.4252,378
IND,0,1,1.002490262,1.00477,528.4252,378
IND,0,1,0.996054093,0.99289,234.9976,235
IND,0,1,0.99835604,0.99996,528.4252,188
RE,0,1,1.011280143,1.00894,1109.086,203
LBR,0,2,0.495862831,0.7447,284.2507,244
LBR,0,1,1.000982214,0.99846,284.2507,284
IND,0,2,0.501138127,0.73603,121.9041,83
IND,0,4,0.246659815,0.25635,43.6514,42
IND,0,4,0.248039308,0.25845,43.7634,42
IND,0,3,0.335051546,0.51146,79.3787,52
IND,0,2,0.499632986,0.74012,119.9881,81
IND,0,2,0.498731883,0.7569,161.5727,101
IND,0,3,0.330114715,0.5081,80.0365,94
RR,0,1,1.001037661,0.9998,10434.76,480
RR,0,1,0.998839857,0.99965,10434.76,480
RR,0,1,1.000574523,1.00005,10434.76,480
RE,0,1,0.996706535,0.99685,320.676,321
RR,0,1,1.00636733,1.00547,10434.76,159
IND,0,2,0.499727712,0.52421,81.8224,78
RE,0,1,1.002619343,1.00044,320.676,321
RR,0,2,0.511901715,0.77489,10434.76,315
RR,0,1,1.003244671,1.00136,10434.76,553
RR,0,1,0.97310245,0.97585,10434.76,553
RR,0,2,0.485557769,0.73303,10434.76,315
IND,0,2,0.503157637,0.50873,117.361,154
IND,0,2,0.530417131,0.53294,157.7475,158
IND,0,2,0.497171931,0.50292,157.5377,158
IND,0,2,0.487373187,0.72873,190.2962,154
RR,0,1,0.986532244,0.98465,10434.76,311
IND,0,3,0.330986722,0.49765,10434.76,52
IND,0,3,0.331854877,0.50149,78.5818,52
RR,0,1,0.988459577,0.98554,10434.76,311
IND,0,3,0.334300492,0.50415,79.9284,66
IND,0,4,0.24932873,0.25637,40.1019,54
IND,0,4,0.24414521,0.38051,60.7837,59
IND,0,2,0.497651706,0.74834,120.3002,101
IND,0,3,0.333385752,0.49348,78.4516,53
IND,0,2,0.501949882,0.74066,115.0951,78
IND,0,2,0.502535226,0.50608,78.5513,78
IND,0,3,0.330460866,0.49851,78.4442,52
IND,0,3,0.333249497,0.50254,79.9245,53
IND,0,1,0.992227551,0.98881,143.5053,144
IND,0,2,0.499211246,0.51339,77.1316,75
IND,0,1,0.999148873,0.99674,161.611,162
IND,0,2,0.498995771,0.51865,83.1516,80
IND,0,2,0.496938857,0.52452,79.1631,75
IND,0,3,0.331628762,0.47721,71.9495,63
IND,0,3,0.336899897,0.51602,82.7106,66
IND,0,3,0.331700347,0.49021,76.8506,52
IND,0,3,0.336651147,0.51327,80.8068,79
IND,0,2,0.4931933,0.49309,77.9839,98
OTHER_ND,0,2,0.502116516,0.5117,157.6914,79
IND,0,2,0.5069837,0.51688,118.4978,98
IND,0,4,0.245553282,0.25196,40.0186,59
IND,0,2,0.500246957,0.51583,81.4614,79
IND,0,2,0.497138268,0.51592,80.9471,78
IND,0,1,1.0028937,1.0004,350.7137,351
IND,0,3,0.333523613,0.50018,350.7137,143
