row.names,state,st,county,long,Y60,Y61,Y62,Y63,Y64,Y65,Y66,Y67,Y68,Y69,Y70,Y71,Y72,Y73,Y74,Y75,Y76,Y77,Y78,Y79,Y80,Y81,Y82,Y83,Y84,Y85,Y86,Y87,Y88,Y89,Y90,Y91,Y92,Y93,Y94,Y95,Y96,ACRES,SAW,XERIC,HYDRIC,MAXTF,PRCPF,MAXTW,PRCPW,MAXTSP,PRCPSP,MAXTSU,PRCPSU,LNELEV,NATFOR,PHAT,YneighB.1,YneighB.2,YneighB.3,YneighB.4,YneighB.5,YneighB.6,YneighB.7,YneighB.8,YneighB.9,YneighB.10,YneighB.11,YneighB.12,YneighB.13,YneighB.14,YneighB.15,YneighB.16,YneighB.17,YneighB.18,YneighB.19,YneighB.20,YneighB.21,YneighB.22,YneighB.23,YneighB.24,YneighB.25,YneighB.26,YneighB.27,YneighB.28,YneighB.29,YneighB.30,YneighB.31,YneighB.111,YneighB.222,YneighB.33,YneighB.44,YneighB.55,YneighB.66,YneighB.77,YneighB.88,YneighB.99,YneighB.1010,YneighB.1111,YneighB.1212,YneighB.1313,YneighB.1414,YneighB.1515,YneighB.1616,YneighB.1717,YneighB.1818,YneighB.1919,YneighB.2020,YneighB.2121,YneighB.2222,YneighB.2323,YneighB.2424,YneighB.2525,YneighB.2626,YneighB.2727,YneighB.2828,YneighB.2929,YneighB.3030,YneighB.3131
50,North Carolina,37, 99,-83.1444,0,0,1,0,0,0,0,0,0,1,0,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,3.16877e5,  9.2,130.5,  0  ,62.1681,6.7821,44.9633,6.8079,62.4598,7.3461,75.913 ,7.0004,7.693 , 63.3,0.2581,0,0,0,0,0,0,0,0,0,2,0,0,2,4,4,4,4,0,0,0,0,0,0,0,0,0,0,0,1,3,0,0,0,0,0,0,0,0,0,0,2,0,0,2,4,4,4,4,0,0,0,0,0,0,0,0,0,0,0,1,3,0
51,North Carolina,37,101,-78.3652,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.10137e5,133.6,  0  , 19.3,74.2615,3.4001,54.3811,3.7079,73.6239,3.8577,88.7489,4.6473,5.3033,  0  ,0.0645,0,0,0,0,0,0,0,1,2,0,0,0,1,3,4,4,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,1,3,4,4,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0
52,North Carolina,37,103,-77.366 ,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.0119e5 ,102.1,  0  , 33.1,74.4637,3.5148,54.1078,3.8327,72.2587,4.0089,87.7859,5.7333,3.434 , 29.8,0.129 ,0,0,0,0,0,1,0,2,3,3,0,0,2,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,3,3,0,0,2,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
53,North Carolina,37,105,-79.1723,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.66099e5, 52.5,  0  ,  0  ,74.0956,3.0553,53.8844,3.3932,72.2283,3.6989,88.712 ,5.0674,5.7268,  0  ,0.0323,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0
54,North Carolina,37,107,-77.6428,0,0,0,0,0,0,0,1,1,1,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.57549e5, 40.8,  8.5, 17  ,74.4637,3.5148,54.1078,3.8327,72.2587,4.0089,87.7859,5.7333,3.7612,  0  ,0.1935,0,0,0,0,0,0,0,4,4,2,0,0,1,3,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,2,0,0,1,3,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
55,North Carolina,37,109,-81.2229,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1.96262e5, 34.1,  0  ,  0  ,71.8352,3.5867,51.6122,3.6721,70.8935,4.1326,86.4163,4.2102,6.7565,  0  ,0.1613,0,0,2,2,4,2,2,0,2,4,1,1,5,5,5,5,5,0,0,3,2,0,0,0,0,0,2,1,1,1,0,0,0,2,2,4,2,2,0,2,4,1,1,5,5,5,5,5,0,0,3,2,0,0,0,0,0,2,1,1,1,0
56,North Carolina,37,111,-82.0483,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.8345e5 , 39.3,125.5,  0  ,71.9692,4.0787,52.4089,3.9321,72.0261,4.4213,87.0826,4.3654,7.3533, 67.6,0.1613,0,0,0,1,0,0,0,0,0,2,1,0,0,2,4,4,7,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,2,1,0,0,2,4,4,7,0,0,1,0,0,0,0,0,0,0,0,1,1,0
57,North Carolina,37,113,-83.4206,0,0,0,0,0,0,0,0,0,1,0,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,3.32467e5, 30.5,126.3,  0  ,66.5203,5.3469,48.3567,5.7251,66.1103,6.0549,80.0978,5.6562,7.9208,140.3,0.2581,0,0,1,0,0,0,0,0,1,4,0,0,4,4,4,4,4,0,0,0,0,0,0,0,0,0,0,0,1,4,2,0,0,1,0,0,0,0,0,1,4,0,0,4,4,4,4,4,0,0,0,0,0,0,0,0,0,0,0,1,4,2
58,North Carolina,37,115,-82.7116,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2.88838e5, 29.4, 82.6,  0  ,68.7352,2.8046,48.4911,3.0138,67.7957,3.6711,82.9174,3.8157,7.4378, 50.6,0.0323,0,0,0,0,0,0,0,0,0,1,0,0,0,2,2,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,2,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
59,North Carolina,37,117,-77.1028,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2.99686e5, 63.2,  0  , 21.3,74.3286,3.4536,54.3389,3.5468,72.4239,3.8705,87.7511,5.1142,3.0445,  0  ,0.129 ,0,0,0,0,1,3,1,3,2,4,2,0,1,4,6,6,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,3,1,3,2,4,2,0,1,4,6,6,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
